osm_id,code,fclass,name,type,center,area
206786978,1500,building,,residential,"(103.8316018125, 103.8316018125)",2.3173828125
206787367,1500,building,,residential,"(103.83119936, 103.83119936)",1.01171875
206787369,1500,building,,residential,"(103.83154381764706, 103.83154381764706)",9.30859375
206787370,1500,building,,residential,"(103.83246896, 103.83246896)",1.1962890625
206787373,1500,building,,residential,"(103.83107008571429, 103.83107008571429)",2.13671875
206787376,1500,building,,residential,"(103.83182121612903, 103.83182121612903)",16.3115234375
206797243,1500,building,,residential,"(103.75238105333332, 103.75238105333332)",31.6875
206797724,1500,building,,residential,"(103.75232130133335, 103.75232130133335)",31.701171875
206797843,1500,building,,residential,"(103.75228157066667, 103.75228157066667)",31.7177734375
206798208,1500,building,,residential,"(103.75266064603174, 103.75266064603174)",30.1943359375
206798334,1500,building,H24,residential,"(103.62951393846154, 103.62951393846154)",9.337890625
206798355,1500,building,H22,residential,"(103.62950973999999, 103.62950973999999)",8.880859375
206798664,1500,building,H21,residential,"(103.6291893111111, 103.6291893111111)",6.552734375
206798706,1500,building,H20,residential,"(103.62920765999999, 103.62920765999999)",7.8359375
206798747,1500,building,H19,residential,"(103.6295920230769, 103.6295920230769)",9.7451171875
206798867,1500,building,H12,residential,"(103.63099242, 103.63099242)",15.2880859375
206800770,1500,building,H25,residential,"(103.62960036153845, 103.62960036153845)",131.69140625
206801792,1500,building,,residential,"(103.75279752857139, 103.75279752857139)",25.892578125
206801793,1500,building,,residential,"(103.75235049104481, 103.75235049104481)",24.3623046875
206801794,1500,building,,residential,"(103.75332608214282, 103.75332608214282)",21.072265625
206801795,1500,building,,residential,"(103.7533149980392, 103.7533149980392)",21.638671875
206801796,1500,building,,residential,"(103.75287959803921, 103.75287959803921)",21.6416015625
206801839,1500,building,,residential,"(103.7522223178571, 103.7522223178571)",20.2646484375
206801840,1500,building,,residential,"(103.75260679821427, 103.75260679821427)",20.259765625
206802044,1500,building,,residential,"(103.75224824464286, 103.75224824464286)",20.2529296875
206802045,1500,building,,residential,"(103.75262096785715, 103.75262096785715)",20.255859375
207268964,1500,building,L12,residential,"(103.63235198000004, 103.63235198000004)",95.021484375
207275681,1500,building,L20,residential,"(103.62987225454548, 103.62987225454548)",16.0322265625
207275748,1500,building,L21,residential,"(103.63013049090908, 103.63013049090908)",14.1083984375
207276071,1500,building,L25,residential,"(103.63037246666667, 103.63037246666667)",17.216796875
207276072,1500,building,L26,residential,"(103.63048512727272, 103.63048512727272)",14.9384765625
207276073,1500,building,L34,residential,"(103.63072784545456, 103.63072784545456)",14.6552734375
207276074,1500,building,L30,residential,"(103.63067273636362, 103.63067273636362)",14.689453125
207276075,1500,building,L33,residential,"(103.63068156363637, 103.63068156363637)",13.71875
207276271,1500,building,L29,residential,"(103.63057082727272, 103.63057082727272)",15.08984375
207276395,1500,building,H23,residential,"(103.63000692307693, 103.63000692307693)",10.7109375
207276643,1500,building,L38,residential,"(103.63019825555557, 103.63019825555557)",7.984375
208190248,1500,building,L04,residential,"(103.63171542222221, 103.63171542222221)",22.1025390625
208190296,1500,building,L03 (RF),residential,"(103.63183236, 103.63183236)",4.6259765625
208190929,1500,building,L06 (RF),residential,"(103.6313985, 103.6313985)",7.279296875
208190930,1500,building,L05,residential,"(103.63159133333333, 103.63159133333333)",24.955078125
208191046,1500,building,L07,residential,"(103.6315257, 103.6315257)",21.5205078125
208577327,1500,building,,residential,"(103.8867699968085, 103.8867699968085)",56.8271484375
208577328,1500,building,,residential,"(103.88760104565218, 103.88760104565218)",61.046875
208577329,1500,building,,residential,"(103.8885536923077, 103.8885536923077)",18.4912109375
208577330,1500,building,,residential,"(103.88669802307693, 103.88669802307693)",20.087890625
209825001,1500,building,,residential,"(112.08798366, 112.08798366)",38.009765625
209825002,1500,building,,residential,"(112.08801296000001, 112.08801296000001)",42.1875
209825003,1500,building,,residential,"(112.08799795999998, 112.08799795999998)",54.490234375
209825004,1500,building,,residential,"(112.08799691999998, 112.08799691999998)",49.2412109375
209825005,1500,building,,residential,"(112.08803158, 112.08803158)",60.755859375
209825006,1500,building,,residential,"(112.08794138, 112.08794138)",40.45703125
209825007,1500,building,,residential,"(112.08692667999999, 112.08692667999999)",32.9814453125
209825008,1500,building,,residential,"(112.08732388000001, 112.08732388000001)",34.609375
209825009,1500,building,,residential,"(112.08679612857144, 112.08679612857144)",43.771484375
209825010,1500,building,,residential,"(112.08728402, 112.08728402)",40.2861328125
209825011,1500,building,,residential,"(112.08684177777778, 112.08684177777778)",40.53125
209825012,1500,building,,residential,"(112.0872688, 112.0872688)",45.521484375
209825013,1500,building,,residential,"(112.08684934444445, 112.08684934444445)",41.27734375
209825014,1500,building,,residential,"(112.08683556666665, 112.08683556666665)",41.5576171875
