id,name,type,area,center_lng,center_lat
34,Fettes Residences,apartments,4609.281502434751,100.30502225000001,5.452354150000001
35,Tanjung Park,apartments,8636.44678733716,100.30403755,5.449626975
36,Taman Tanjung,apartments,2156.4758830997075,100.30416002499999,5.45056035
37,Taman Erskine Apartment,apartments,922.6381212353461,100.30156570000001,5.44821635
38,Grand View,apartments,7316.729256829515,100.306014075,5.440604025000001
39,Mutiara Villa,apartments,1114.7264748109612,100.30663104,5.43963924
40,Sunrise Tower,apartments,845.458670615952,100.30819290000001,5.439825850000001
41,Taman Teguh,apartments,2785.3922065222378,100.30564355,5.4400649125
42,Jermal Court Apartment,apartments,1795.3584292354515,100.30386502500001,5.4358806
43,Jermal Jaya Apartment,apartments,1095.296670508431,100.30404340833333,5.436313999999999
44,Wayton Court Apartment,apartments,624.237320061247,100.30407588,5.434269840000001
45,Sri Golden Bay Condominium,apartments,3184.2214940435533,100.298478675,5.464884475
46,Springtide Residence,apartments,1174.8016689732028,100.300855275,5.464276375000001
47,Horizon Tower  Condominium,apartments,784.8203263618337,100.29972373000001,5.4625185300000005
48,Pearl View Condominium,apartments,5849.200484034844,100.29594895,5.464193762500001
49,Gurney Villa,apartments,986.1934215921168,100.30869767500002,5.437920200000001
